/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zybglac6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_083119-zybglac6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-0.3
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zybglac6
Using device: cuda
[Episode 70] Steps: 500 | Survival: 4/4 | Mean Reward: 167.74 | Collisions: 29 | Kills: 0
[Episode 71] Steps: 500 | Survival: 4/4 | Mean Reward: 172.34 | Collisions: 33 | Kills: 0
[Episode 72] Steps: 500 | Survival: 4/4 | Mean Reward: 173.28 | Collisions: 29 | Kills: 0
[Episode 73] Steps: 155 | Survival: 3/4 | Mean Reward: 46.00 | Collisions: 53 | Kills: 0
[Episode 74] Steps: 500 | Survival: 4/4 | Mean Reward: 160.94 | Collisions: 56 | Kills: 0
[Episode 75] Steps: 500 | Survival: 4/4 | Mean Reward: 166.08 | Collisions: 45 | Kills: 0
[Episode 76] Steps: 500 | Survival: 4/4 | Mean Reward: 159.10 | Collisions: 54 | Kills: 0
[Episode 77] Steps: 500 | Survival: 4/4 | Mean Reward: 169.22 | Collisions: 50 | Kills: 0
[Episode 78] Steps: 500 | Survival: 4/4 | Mean Reward: 167.32 | Collisions: 36 | Kills: 0
[Episode 79] Steps: 174 | Survival: 3/4 | Mean Reward: 53.20 | Collisions: 42 | Kills: 0
[Episode 80] Steps: 500 | Survival: 4/4 | Mean Reward: 163.97 | Collisions: 81 | Kills: 0
[Episode 81] Steps: 500 | Survival: 4/4 | Mean Reward: 165.58 | Collisions: 47 | Kills: 0
[Episode 82] Steps: 153 | Survival: 3/4 | Mean Reward: 45.74 | Collisions: 25 | Kills: 3
[Episode 83] Steps: 500 | Survival: 4/4 | Mean Reward: 171.50 | Collisions: 22 | Kills: 0
[Episode 84] Steps: 500 | Survival: 4/4 | Mean Reward: 157.98 | Collisions: 76 | Kills: 0
[Episode 85] Steps: 152 | Survival: 3/4 | Mean Reward: 49.78 | Collisions: 32 | Kills: 0
[Episode 86] Steps: 500 | Survival: 4/4 | Mean Reward: 161.00 | Collisions: 46 | Kills: 0
[Episode 87] Steps: 500 | Survival: 4/4 | Mean Reward: 166.32 | Collisions: 43 | Kills: 0
[Episode 88] Steps: 500 | Survival: 4/4 | Mean Reward: 169.21 | Collisions: 41 | Kills: 0
[Episode 89] Steps: 500 | Survival: 4/4 | Mean Reward: 168.42 | Collisions: 32 | Kills: 0
[Episode 90] Steps: 500 | Survival: 4/4 | Mean Reward: 163.93 | Collisions: 40 | Kills: 0
[Episode 91] Steps: 474 | Survival: 3/4 | Mean Reward: 156.06 | Collisions: 46 | Kills: 0
[Episode 92] Steps: 500 | Survival: 4/4 | Mean Reward: 165.92 | Collisions: 49 | Kills: 0
[Episode 93] Steps: 500 | Survival: 4/4 | Mean Reward: 171.79 | Collisions: 29 | Kills: 0
[Episode 94] Steps: 500 | Survival: 4/4 | Mean Reward: 166.27 | Collisions: 40 | Kills: 0
[Episode 95] Steps: 327 | Survival: 3/4 | Mean Reward: 102.18 | Collisions: 69 | Kills: 2
[Episode 96] Steps: 500 | Survival: 4/4 | Mean Reward: 171.32 | Collisions: 40 | Kills: 0
[Episode 97] Steps: 482 | Survival: 3/4 | Mean Reward: 154.01 | Collisions: 69 | Kills: 0
[Episode 98] Steps: 500 | Survival: 4/4 | Mean Reward: 158.04 | Collisions: 70 | Kills: 0
[Episode 99] Steps: 500 | Survival: 4/4 | Mean Reward: 164.80 | Collisions: 37 | Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_081645/collision-10-energy-200-epsilon-0.3/episode_100
[Episode 100] Steps: 500 | Survival: 4/4 | Mean Reward: 161.65 | Collisions: 42 | Kills: 0
[Episode 101] Steps: 500 | Survival: 4/4 | Mean Reward: 165.36 | Collisions: 67 | Kills: 0
[Episode 102] Steps: 221 | Survival: 3/4 | Mean Reward: 69.98 | Collisions: 44 | Kills: 5
[Episode 103] Steps: 500 | Survival: 4/4 | Mean Reward: 175.16 | Collisions: 26 | Kills: 0
[Episode 104] Steps: 110 | Survival: 3/4 | Mean Reward: 32.72 | Collisions: 20 | Kills: 2
[Episode 105] Steps: 500 | Survival: 4/4 | Mean Reward: 169.67 | Collisions: 36 | Kills: 0
[Episode 106] Steps: 500 | Survival: 4/4 | Mean Reward: 170.98 | Collisions: 26 | Kills: 0
[Episode 107] Steps: 500 | Survival: 4/4 | Mean Reward: 171.69 | Collisions: 29 | Kills: 0
[Episode 108] Steps: 399 | Survival: 3/4 | Mean Reward: 131.90 | Collisions: 50 | Kills: 0
[Episode 109] Steps: 500 | Survival: 4/4 | Mean Reward: 164.82 | Collisions: 46 | Kills: 0
[Episode 110] Steps: 241 | Survival: 3/4 | Mean Reward: 76.38 | Collisions: 41 | Kills: 0
[Episode 111] Steps: 131 | Survival: 3/4 | Mean Reward: 36.84 | Collisions: 42 | Kills: 0
[Episode 112] Steps: 387 | Survival: 3/4 | Mean Reward: 122.52 | Collisions: 44 | Kills: 0
[Episode 113] Steps: 500 | Survival: 4/4 | Mean Reward: 159.11 | Collisions: 56 | Kills: 0
[Episode 114] Steps: 500 | Survival: 4/4 | Mean Reward: 163.27 | Collisions: 49 | Kills: 0
[Episode 115] Steps: 500 | Survival: 4/4 | Mean Reward: 165.87 | Collisions: 47 | Kills: 0
[Episode 116] Steps: 500 | Survival: 4/4 | Mean Reward: 174.04 | Collisions: 39 | Kills: 0
[Episode 117] Steps: 500 | Survival: 4/4 | Mean Reward: 166.53 | Collisions: 39 | Kills: 0
[Episode 118] Steps: 342 | Survival: 3/4 | Mean Reward: 113.31 | Collisions: 21 | Kills: 0
[Episode 119] Steps: 500 | Survival: 4/4 | Mean Reward: 170.74 | Collisions: 37 | Kills: 0
[Episode 120] Steps: 500 | Survival: 4/4 | Mean Reward: 172.09 | Collisions: 28 | Kills: 0
[Episode 121] Steps: 500 | Survival: 4/4 | Mean Reward: 169.43 | Collisions: 34 | Kills: 0
[Episode 122] Steps: 500 | Survival: 4/4 | Mean Reward: 164.85 | Collisions: 48 | Kills: 0
[Episode 123] Steps: 500 | Survival: 4/4 | Mean Reward: 164.21 | Collisions: 50 | Kills: 0
[Episode 124] Steps: 431 | Survival: 3/4 | Mean Reward: 133.38 | Collisions: 56 | Kills: 2
[Episode 125] Steps: 500 | Survival: 4/4 | Mean Reward: 163.03 | Collisions: 40 | Kills: 0
[Episode 126] Steps: 500 | Survival: 4/4 | Mean Reward: 165.59 | Collisions: 37 | Kills: 0
[Episode 127] Steps: 500 | Survival: 4/4 | Mean Reward: 166.84 | Collisions: 50 | Kills: 0
[Episode 128] Steps: 500 | Survival: 4/4 | Mean Reward: 167.79 | Collisions: 37 | Kills: 0
[Episode 129] Steps: 137 | Survival: 3/4 | Mean Reward: 37.34 | Collisions: 39 | Kills: 0
[Episode 130] Steps: 222 | Survival: 3/4 | Mean Reward: 69.97 | Collisions: 36 | Kills: 0
[Episode 131] Steps: 73 | Survival: 3/4 | Mean Reward: 21.51 | Collisions: 17 | Kills: 1
[Episode 132] Steps: 500 | Survival: 4/4 | Mean Reward: 165.29 | Collisions: 55 | Kills: 0
[Episode 133] Steps: 500 | Survival: 4/4 | Mean Reward: 160.40 | Collisions: 47 | Kills: 0
[Episode 134] Steps: 163 | Survival: 3/4 | Mean Reward: 48.80 | Collisions: 29 | Kills: 0
[Episode 135] Steps: 298 | Survival: 3/4 | Mean Reward: 92.63 | Collisions: 43 | Kills: 1
[Episode 136] Steps: 500 | Survival: 4/4 | Mean Reward: 168.31 | Collisions: 46 | Kills: 0
[Episode 137] Steps: 418 | Survival: 3/4 | Mean Reward: 142.55 | Collisions: 43 | Kills: 1
[Episode 138] Steps: 500 | Survival: 4/4 | Mean Reward: 171.58 | Collisions: 38 | Kills: 0
[Episode 139] Steps: 500 | Survival: 4/4 | Mean Reward: 171.79 | Collisions: 31 | Kills: 0
[Episode 140] Steps: 500 | Survival: 4/4 | Mean Reward: 160.94 | Collisions: 50 | Kills: 0
[Episode 141] Steps: 500 | Survival: 4/4 | Mean Reward: 166.70 | Collisions: 36 | Kills: 0
[Episode 142] Steps: 500 | Survival: 4/4 | Mean Reward: 168.31 | Collisions: 36 | Kills: 0
[Episode 143] Steps: 500 | Survival: 4/4 | Mean Reward: 160.46 | Collisions: 57 | Kills: 0
[Episode 144] Steps: 337 | Survival: 3/4 | Mean Reward: 111.33 | Collisions: 50 | Kills: 0
[Episode 145] Steps: 59 | Survival: 3/4 | Mean Reward: 15.60 | Collisions: 14 | Kills: 1
[Episode 146] Steps: 500 | Survival: 4/4 | Mean Reward: 161.34 | Collisions: 49 | Kills: 0
[Episode 147] Steps: 500 | Survival: 4/4 | Mean Reward: 162.67 | Collisions: 56 | Kills: 0
[Episode 148] Steps: 500 | Survival: 4/4 | Mean Reward: 163.00 | Collisions: 70 | Kills: 0
[Episode 149] Steps: 500 | Survival: 4/4 | Mean Reward: 174.90 | Collisions: 30 | Kills: 0
[Episode 150] Steps: 183 | Survival: 3/4 | Mean Reward: 55.84 | Collisions: 34 | Kills: 0
[Episode 151] Steps: 500 | Survival: 4/4 | Mean Reward: 162.44 | Collisions: 56 | Kills: 0
[Episode 152] Steps: 112 | Survival: 3/4 | Mean Reward: 34.66 | Collisions: 20 | Kills: 0
[Episode 153] Steps: 500 | Survival: 4/4 | Mean Reward: 159.31 | Collisions: 53 | Kills: 0
[Episode 154] Steps: 500 | Survival: 4/4 | Mean Reward: 158.98 | Collisions: 65 | Kills: 0
[Episode 155] Steps: 227 | Survival: 3/4 | Mean Reward: 73.70 | Collisions: 34 | Kills: 0
[Episode 156] Steps: 500 | Survival: 4/4 | Mean Reward: 164.20 | Collisions: 45 | Kills: 0
[Episode 157] Steps: 500 | Survival: 4/4 | Mean Reward: 166.88 | Collisions: 51 | Kills: 0
[Episode 158] Steps: 112 | Survival: 3/4 | Mean Reward: 32.71 | Collisions: 13 | Kills: 0
[Episode 159] Steps: 500 | Survival: 4/4 | Mean Reward: 158.63 | Collisions: 44 | Kills: 0
[Episode 160] Steps: 500 | Survival: 4/4 | Mean Reward: 163.84 | Collisions: 66 | Kills: 0
[Episode 161] Steps: 500 | Survival: 4/4 | Mean Reward: 170.80 | Collisions: 39 | Kills: 0
