/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zn2f87km
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_052729-zn2f87km
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zn2f87km
Using device: cuda
[Episode 165] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 166] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 167] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 168] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 169] Steps: 2 | Survival: 3/4 | Mean Reward: -0.36 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 170] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 171] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 172] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 173] Steps: 2 | Survival: 1/4 | Mean Reward: -0.49 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 174] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 175] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 176] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 177] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 178] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 179] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 180] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 181] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
