/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xzr85t22
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_022001-xzr85t22
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-150
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/xzr85t22
Using device: cuda
[Episode 184] Steps: 500 | Survival: 4/4 | Mean Reward: 196.97 | Collisions: 19 | Kills: 0
[Episode 185] Steps: 500 | Survival: 4/4 | Mean Reward: 193.49 | Collisions: 20 | Kills: 0
[Episode 186] Steps: 500 | Survival: 4/4 | Mean Reward: 194.48 | Collisions: 18 | Kills: 0
[Episode 187] Steps: 500 | Survival: 4/4 | Mean Reward: 193.12 | Collisions: 27 | Kills: 0
[Episode 188] Steps: 500 | Survival: 4/4 | Mean Reward: 196.37 | Collisions: 19 | Kills: 0
[Episode 189] Steps: 500 | Survival: 4/4 | Mean Reward: 189.63 | Collisions: 23 | Kills: 0
[Episode 190] Steps: 500 | Survival: 4/4 | Mean Reward: 200.12 | Collisions: 19 | Kills: 0
[Episode 191] Steps: 421 | Survival: 3/4 | Mean Reward: 167.29 | Collisions: 25 | Kills: 0
[Episode 192] Steps: 500 | Survival: 4/4 | Mean Reward: 192.95 | Collisions: 17 | Kills: 0
[Episode 193] Steps: 500 | Survival: 4/4 | Mean Reward: 195.87 | Collisions: 15 | Kills: 0
[Episode 194] Steps: 500 | Survival: 4/4 | Mean Reward: 190.23 | Collisions: 29 | Kills: 0
[Episode 195] Steps: 500 | Survival: 4/4 | Mean Reward: 193.91 | Collisions: 15 | Kills: 0
[Episode 196] Steps: 500 | Survival: 4/4 | Mean Reward: 196.10 | Collisions: 13 | Kills: 0
[Episode 197] Steps: 500 | Survival: 4/4 | Mean Reward: 198.60 | Collisions: 13 | Kills: 0
[Episode 198] Steps: 500 | Survival: 4/4 | Mean Reward: 194.22 | Collisions: 15 | Kills: 0
[Episode 199] Steps: 500 | Survival: 4/4 | Mean Reward: 195.87 | Collisions: 27 | Kills: 0
[Episode 200] Steps: 78 | Survival: 3/4 | Mean Reward: 26.20 | Collisions: 20 | Kills: 1
[Episode 201] Steps: 500 | Survival: 4/4 | Mean Reward: 194.23 | Collisions: 25 | Kills: 0
[Episode 202] Steps: 236 | Survival: 3/4 | Mean Reward: 88.29 | Collisions: 27 | Kills: 0
[Episode 203] Steps: 211 | Survival: 3/4 | Mean Reward: 71.48 | Collisions: 32 | Kills: 2
[Episode 204] Steps: 500 | Survival: 4/4 | Mean Reward: 192.61 | Collisions: 24 | Kills: 0
[Episode 205] Steps: 273 | Survival: 3/4 | Mean Reward: 101.26 | Collisions: 28 | Kills: 0
[Episode 206] Steps: 500 | Survival: 4/4 | Mean Reward: 199.23 | Collisions: 9 | Kills: 0
[Episode 207] Steps: 27 | Survival: 3/4 | Mean Reward: 9.37 | Collisions: 11 | Kills: 0
[Episode 208] Steps: 500 | Survival: 4/4 | Mean Reward: 194.15 | Collisions: 19 | Kills: 0
[Episode 209] Steps: 500 | Survival: 4/4 | Mean Reward: 185.86 | Collisions: 66 | Kills: 0
[Episode 210] Steps: 51 | Survival: 3/4 | Mean Reward: 16.26 | Collisions: 5 | Kills: 0
[Episode 211] Steps: 60 | Survival: 3/4 | Mean Reward: 21.83 | Collisions: 16 | Kills: 0
[Episode 212] Steps: 500 | Survival: 4/4 | Mean Reward: 195.74 | Collisions: 30 | Kills: 0
[Episode 213] Steps: 500 | Survival: 4/4 | Mean Reward: 197.75 | Collisions: 12 | Kills: 0
[Episode 214] Steps: 500 | Survival: 4/4 | Mean Reward: 194.00 | Collisions: 23 | Kills: 0
[Episode 215] Steps: 500 | Survival: 4/4 | Mean Reward: 200.21 | Collisions: 15 | Kills: 0
[Episode 216] Steps: 500 | Survival: 4/4 | Mean Reward: 189.33 | Collisions: 21 | Kills: 0
[Episode 217] Steps: 500 | Survival: 4/4 | Mean Reward: 192.50 | Collisions: 30 | Kills: 0
[Episode 218] Steps: 500 | Survival: 4/4 | Mean Reward: 194.25 | Collisions: 22 | Kills: 0
[Episode 219] Steps: 500 | Survival: 4/4 | Mean Reward: 195.46 | Collisions: 16 | Kills: 0
[Episode 220] Steps: 96 | Survival: 3/4 | Mean Reward: 30.03 | Collisions: 15 | Kills: 1
[Episode 221] Steps: 500 | Survival: 4/4 | Mean Reward: 193.59 | Collisions: 11 | Kills: 0
[Episode 222] Steps: 500 | Survival: 4/4 | Mean Reward: 195.47 | Collisions: 16 | Kills: 0
[Episode 223] Steps: 500 | Survival: 4/4 | Mean Reward: 182.49 | Collisions: 37 | Kills: 0
[Episode 224] Steps: 500 | Survival: 4/4 | Mean Reward: 198.73 | Collisions: 9 | Kills: 0
