/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8sg792w6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_081705-8sg792w6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-150-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/8sg792w6
Using device: cuda
[Episode 96] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 97] Steps: 3 | Survival: 2/4 | Mean Reward: -0.96 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 98] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 99] Steps: 3 | Survival: 2/4 | Mean Reward: -0.85 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-150-epsilon-decay/episode_100
[Episode 100] Steps: 3 | Survival: 1/4 | Mean Reward: -0.95 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 101] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 102] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 103] Steps: 3 | Survival: 2/4 | Mean Reward: -1.10 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 104] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 105] Steps: 3 | Survival: 2/4 | Mean Reward: -0.96 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 106] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 107] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 108] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 109] Steps: 3 | Survival: 1/4 | Mean Reward: -0.96 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 110] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 111] Steps: 3 | Survival: 2/4 | Mean Reward: -0.97 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 112] Steps: 3 | Survival: 3/4 | Mean Reward: -0.85 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 113] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
[Episode 114] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 115] Steps: 3 | Survival: 2/4 | Mean Reward: -1.23 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 116] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
